PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
447;"Investeringsprogramma wegen - Durmbrug N446 Waasmunster";30-01-2014;;"De Meyer Jos";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
446;"Kruispunt N46 - N415 Zwalm - herinrichting";30-01-2014;;"Franssen Cindy";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
445;"Parkbosbruggen Gent - stand van zaken";30-01-2014;;"Franssen Cindy";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
444;"Investeringsprogramma wegen - Geluidsschermen E17 Temse";30-01-2014;;"De Meyer Jos";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
443;"N46 - Zwalm - projecten veilige schoolomgeving";30-01-2014;;"Franssen Cindy";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
442;"Toeristische infoborden - plaatsing";30-01-2014;;"Wienen Wim";;12-02-2014;;EVT;;;12-02-2014;12-02-2014;12-02-2014;
440;"Oude Vaartstraat Ranst - Geluidsschermen";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;
439;"E19 Keizershoek Kontich - Geluidsscherm";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;
438;"N444 - Merelbeke - Signalisatie staat wegdek";30-01-2014;;"Lachaert Egbert";;12-02-2014;;WOV;;;12-02-2014;12-02-2014;12-02-2014;
437;"Realisatie fietspaden - overzicht (2)";30-01-2014;;"Rzoska Björn";;12-02-2014;;PCO;;12-02-2014;12-02-2014;12-02-2014;12-02-2014;
;"Actuele Vraag (874) Vlaanderen dat liever investeert in beton dan in slimme technologie";29-01-2014;;"Keulen Marino";;04-02-2014;;EMT;;;04-02-2014;04-02-2014;04-02-2014;
363;"Vlaamse Overheid - Infolijn 1700";13-01-2014;;"Dillen Marijke";;24-01-2014;;PCO;;;27-01-2014;27-01-2014;03-02-2014;
436;"R4 Zwijnaarde - Brug Brugsevaart - verlichting fietspad";29-01-2014;;"Yuksel Veli";;11-02-2014;;WOV;;;11-02-2014;11-02-2014;11-02-2014;
435;"Kruispunt Vrijheid / Buizelstraat Hoogstraten - Zebrapad";29-01-2014;;"Huybrechts Patrick ";;11-02-2014;;WA;;;11-02-2014;11-02-2014;11-02-2014;
434;"Lichtvisie gewestwegen - accentverlichting";29-01-2014;;"Van Rouveroij Sas";;11-02-2014;;EVT;;;11-02-2014;11-02-2014;11-02-2014;
432;"Spartacusplan - kostprijs Lijn 1 Hasselt - Maastricht";29-01-2014;;"Jans Lies";;11-02-2014;;WL;;;11-02-2014;11-02-2014;11-02-2014;
;"Mensensmokkel op snelwegparkings";29-01-2014;;"Verfaillie Jan";"Actuele vraag";29-01-2014;;WWV;;;29-01-2014;29-01-2014;29-01-2014;
431;"Toeristische borden - uitbreiding";28-01-2014;;"Keulen Marino";;10-02-2014;;EVT;;;10-02-2014;10-02-2014;10-02-2014;
430;"Ghelamco Arena Gent - Bewegwijzering";28-01-2014;;"Van Rouveroij Sas";;10-02-2014;;WOV;;;10-02-2014;10-02-2014;10-02-2014;
427;"Albertkanaal Oelegem - Flitscamera";28-01-2014;;"Schrijvers Katrien";;10-02-2014;;WA;;;10-02-2014;10-02-2014;10-02-2014;
406;"Projecten met overheidssteun - Oost-Vlaanderen";22-01-2014;;"Taeldeman Valerie";;06-02-2014;;WOV;;;06-02-2014;06-02-2014;06-02-2014;
426;"Wetsvoorstel inzake taalgebruik bij wegsignalisatie en verkeersboodschappen - overleg";27-01-2014;;"Van den Eynde Marleen";;05-02-2014;;EVT;;;05-02-2014;05-02-2014;05-02-2014;
423;"E17 Harelbeke Stasegem - Geluidswerende maatregelen";27-01-2014;;"De Coene Philippe";;07-02-2014;;WWV;;;07-02-2014;07-02-2014;07-02-2014;
422;"Aanleg fietspaden";27-01-2014;;"Rzoska Björn";;07-02-2014;;PCO;;;07-02-2014;07-02-2014;07-02-2014;
416;"R40 Gent - Afstemming verkeerslichten ";24-01-2014;;"Yuksel Veli";;05-02-2014;;WOV;;;05-02-2014;05-02-2014;05-02-2014;
412;"Investeringsprogramma wegen - N455 Leemweg Sint Laureins";23-01-2014;;"Franssen Cindy";;05-02-2014;;WOV;;;05-02-2014;05-02-2014;05-02-2014;
409;"Investeringsprogramma wegen - N455 - Vlamingstraat Sint Laureins";23-01-2014;;"Franssen Cindy";;05-02-2014;;WOV;;;05-02-2014;05-02-2014;05-02-2014;
408;"Fietspad N118 - Arendonk - Ravels - Weigering bouwvergunning";23-01-2014;;"Kennes Ward";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;
407;"E314 - E34 Tuinwijk Borgerhout - Geluidsschermen";23-01-2014;;"Homans Liesbeth";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;
400;"UZ Brussel - mobiliteitsproblemen";22-01-2014;;"Segers Willy";;03-02-2014;;WVB;;;03-02-2014;03-02-2014;03-02-2014;
405;"Kruispunt Ninoofsesteenweg / Kleemstraat Lennik - Richtinverandering";22-01-2014;;"Reekmans Peter";;04-02-2014;;WVB;;;04-02-2014;04-02-2014;04-02-2014;
404;"N465 - Melle - Oversteekplaatsen";22-01-2014;;"Roegiers Jan";;04-02-2014;;WOV;;;04-02-2014;04-02-2014;04-02-2014;
401;"N118 - Arendonk Ravels - aanleg fietspad";22-01-2014;;"Reekmans Peter";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;
398;"Kruispunt Desguinlei-Van Rijswycklaan Antwerpen - Geluidssignalen voor blinden en slechtzienden";22-01-2014;;"De Gucht Jean-Jacques";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;
397;"Verhoging brug Houtlaan Wijnegem - Flankerende maatregelen";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
396;"N121 - Schilde - 's Gravenwezel - Gevaarlijke bocht";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
395;"De Lijn - ontsluiting Noordoost - Limburg en Maasland";21-01-2014;;"Peeters Lydia";;03-02-2014;;WL;;;03-02-2014;03-02-2014;03-02-2014;
393;"Werken ringweg Tienen - Stand van zaken";20-01-2014;;"Reekmans Peter";;03-02-2014;;WVB;;;03-02-2014;03-02-2014;03-02-2014;
392;"Insleuving R4 Rieme - Financiering en timing";17-01-2014;;"Van Volcem Mercedes";;03-02-2014;;WOV;;;03-02-2014;03-02-2014;03-02-2014;
391;"Aanleg fietspad Herentals - Grobbendonk - stand van zaken";17-01-2014;;"Rzoska Björn";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
390;"Vlaams Infrastructuurfonds en AWV - Verkoop onroerende goederen";17-01-2014;;"Vereeck Lode";;07-02-2014;;PCO;;;07-02-2014;07-02-2014;07-02-2014;
386;"Praatpalen - gebruik";16-01-2014;;"D'Hulster Steve";;31-01-2014;;EMT;;;31-01-2014;31-01-2014;31-01-2014;
384;"Kruispunten gewestwegen - wobblers aan verkeerslichten";16-01-2014;;"Reekmans Peter";;31-01-2014;;EVT;;;31-01-2014;31-01-2014;31-01-2014;
379;"Carpoolparkings - elektrische laadpalen";16-01-2014;;"Vandaele Wilfried";;31-01-2014;;EVT;;;31-01-2014;31-01-2014;31-01-2014;
377;"Gewestwegen - Overdrachten";15-01-2014;;"Bothuyne Robrecht";;28-01-2014;;PCO;;;28-01-2014;28-01-2014;28-01-2014;
376;"Autosnelwegparkings - Mensensmokkel";15-01-2014;;"Tommelein Bart";;28-01-2014;;PCO;;;28-01-2014;28-01-2014;28-01-2014;
