PV;"Te laat";Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
697;Nee;"Generiek Informatieplatform Openbaar Domein (GIPOD) - uitbouw";24-04-2014;;"Dillen Marijke";;08-05-2014;;"PCO, Stafdienst, WA, WK";;08-05-2014;08-05-2014;08-05-2014;08-05-2014;2014-0697.docx
695;Nee;"Mobiliteit Vlaams-Brabant en Brussel - maatregelen";22-04-2014;;"De Knop Irina";;05-05-2014;;Array;;05-05-2014;06-05-2014;06-05-2014;06-05-2014;"2014-0695.docx, antwoord.docx"
694;Nee;"Kruispunt Assesteenweg / NInoofsesteenweg Lennik - Verzakking";22-04-2014;;"Reekmans Peter";;06-05-2014;;WVB;;06-05-2014;06-05-2014;06-05-2014;06-05-2014;"2014-0694.docx, antwoord.docx"
691;Nee;"Proefproject toeritdosering Mortsel - Tellingen verkeersintensiteit";16-04-2014;;"Vermeiren Goedele";;28-04-2014;;EVT;;28-04-2014;28-04-2014;28-04-2014;28-04-2014;"2014-0691.doc, PV_571.doc, PV_571_Antwoord_SG.doc, EVT_PV_2014_37_691_Proefproject toeritdosering Mortsel - Tellingen verkeersintensiteit_leen-Eva.doc"
690;Nee;"Verbindingsweg N19/N118 Geel - Stand van zaken";15-04-2014;;"Reekmans Peter";;24-04-2014;;WA;;24-04-2014;24-04-2014;24-04-2014;24-04-2014;"2014-0690.doc, pv_1059.doc, PV_1059_Antwoord_Minister Crevits.doc, pv_1257.doc, PV_1257_gec. antwoord_Minister Crevits.doc, pv2014-052-690-ant.doc"
678;Nee;"Hoge Mouwtunnel Kasterlee - Geluidsoverlast";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0678.doc, pv2014-048-678-ant.doc"
688;Nee;"N263 Bever - zwaar vrachtverkeer";08-04-2014;;"De Knop Irina";;22-04-2014;;WVB;;22-04-2014;22-04-2014;22-04-2014;22-04-2014;"2014-0688.doc, 1925-2.doc"
681;Nee;"Uitrol elektrisiche mobiliteit - stand van zaken";07-04-2014;;"Rzoska Björn";;18-04-2014;;Stafdienst;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;2014-0681.doc
685;Nee;"Kempische Noord-Zuidverbinding - geluidsoverlast";07-04-2014;;"De Kort Dirk";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0685.doc, pv2014-051-685-ant.doc"
684;Nee;"N19g Kasterlee - Geel - Geluidsschermen";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0684.doc, pv2014-050-684-ant.doc"
682;Nee;"N49 - Maldegem - geluidsoverlast";07-04-2014;;"Rzoska Björn";;18-04-2014;;WOV;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;2014-0682.doc
680;Nee;"Ongelijkgrondse kruisingen - Westerring Genk";07-04-2014;;"Peeters Lydia";;18-04-2014;;WL;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;2014-0680.doc
679;Nee;"Fietspaden A12 - Staat";07-04-2014;;"Rzoska Björn";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0679.doc, pv2014-049-679-ant.doc"
676;Nee;"N8 Ninove - Brussel - Fietspaden";07-04-2014;;"Rzoska Björn";"elementen van antwoord opgevraagd bij WVB";18-04-2014;;WOV;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0676.doc, 2014 - PV0676_antwoord.docx, antwoord WVB.docx"
675;Nee;"N425 Maarkedal - herstelling wegdek en aanleg fietspaden";03-04-2014;;"De Meulemeester Marnic";;16-04-2014;;WOV;;16-04-2014;16-04-2014;16-04-2014;16-04-2014;"2014-0675.doc, 2014 - PV0675_antwoord.docx, 2014-0675.docx"
