PV;"Te laat";Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
697;Ja;"Generiek Informatieplatform Openbaar Domein (GIPOD) - uitbouw";24-04-2014;;"Dillen Marijke";;08-05-2014;;"PCO, Stafdienst, WA, WK";;08-05-2014;08-05-2014;08-05-2014;08-05-2014;2014-0697.docx
690;Ja;"Verbindingsweg N19/N118 Geel - Stand van zaken";15-04-2014;;"Reekmans Peter";;24-04-2014;;WA;;24-04-2014;24-04-2014;24-04-2014;24-04-2014;"2014-0690.doc, pv_1059.doc, PV_1059_Antwoord_Minister Crevits.doc, pv_1257.doc, PV_1257_gec. antwoord_Minister Crevits.doc, pv2014-052-690-ant.doc"
678;Ja;"Hoge Mouwtunnel Kasterlee - Geluidsoverlast";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0678.doc, pv2014-048-678-ant.doc"
685;Ja;"Kempische Noord-Zuidverbinding - geluidsoverlast";07-04-2014;;"De Kort Dirk";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0685.doc, pv2014-051-685-ant.doc"
684;Ja;"N19g Kasterlee - Geel - Geluidsschermen";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0684.doc, pv2014-050-684-ant.doc"
679;Ja;"Fietspaden A12 - Staat";07-04-2014;;"Rzoska Björn";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0679.doc, pv2014-049-679-ant.doc"
661;Ja;"Albertkanaal - Verbreding - Verhoging bruggen";28-03-2014;;"Reekmans Peter";"Geen elementen van antwoord";08-04-2014;;WA;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;2014-0661.doc
651;Ja;"Heraanleg N14 te Zandhoven - stand van zaken";26-03-2014;;"Vermeiren Goedele";"Input De Lijn toegevoegd";09-04-2014;;WA;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0651.doc, 2014-0651DeLijn.doc, pv2014-044-651-ant.doc, 2014-0651-gec.docx"
617;Ja;"Gewestwegen stad Antwerpen - fietsveiligheid (2)";13-03-2014;;"Vogels Mieke";;26-03-2014;;WA;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;"2014-0617.doc, pv2014-043-617-ant.doc, 2014-0617.doc"
614;Ja;"Gewestwegen Antwerpen - overdracht naar de stad";12-03-2014;;"Wienen Wim";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0614.doc, pv2014-042-614-ant.doc, 2014-0614.doc"
612;Ja;"Heraanleg kruispunt N14 / R16 Lier - stand van zaken (2)";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0612.doc, pv2014-041-612-ant.doc, 2014-0612.doc"
611;Ja;"Tweede spoortontsluiting Antwerpse haven - Trajectkeuze";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0611.doc, pv2014-040-611-ant.doc, 2014-0611-AWV.doc"
600;Ja;"E34 Herstellingen";06-03-2014;;"Van Dijck Kris";;18-03-2014;;WA;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0600.doc, 2014-0600-aangepast.doc"
